,SiO2,TiO2,Al2O3,FeO,MgO,MnO,CaO,Na2O,K2O,P2O5,H2O,CO2,Specific ID,CO2_ppm_melt,VolBubble_VolMelt,Fermi diad separation,Correction Factor,SaturationP_bars_melt_only,Density_liq_VESIcal,Density_CO2_bubble,CO2_ppm_bubble,CO2_ppm_total,SaturationP_bars_melt_plus_bubble
LL8_613b,49.77,2.394,12.9,11.336,9.328,0.142,10.702,2.469,0.349,0.229,0.20606671994605,0.02452121549611346,Fissure 8 (Mid July),24.8535719126554,2.72341504504797,102.616121121121,1.00017797800926,40.0,2716.081,0.021976516641970534,220.35858304847918,245.2121549611346,330.0
LL8_615,49.676,1.815,10.928,11.336,13.612,0.151,9.435,2.131,0.334,0.229,0.182498663497485,0.03845691296899294,Fissure 8 (Mid July),28.7121174329565,4.25414046874212,102.637293960627,1.0,30.0,2739.103,0.02291247825515086,355.85701225697284,384.56912968992935,430.0
LL8_617_a,49.028,2.009,11.323,11.338,13.349,0.135,9.757,2.092,0.324,0.291,0.18119557229021,0.045473231248214264,Fissure 8 (Mid July),31.7661317327846,3.9962254241514,102.650917584251,1.00005312962963,40.0,2744.642,0.02904968116283868,422.96618074935805,454.7323124821427,520.0
LL8_623_b,48.418,2.448,11.895,11.331,12.514,0.177,10.022,2.103,0.449,0.299,0.170695147931216,0.0990944225471344,Fissure 8 (Mid July),18.8168567143372,5.11012037895068,102.678588588588,1.00048522569444,20.0,2745.266,0.05222476214280647,972.1273687570068,990.944225471344,1160.0
LL8_626,49.215,2.027,11.612,11.331,12.783,0.172,9.789,2.181,0.33,0.209,0.178975012218461,0.062266176073230144,Fissure 8 (Mid July),4.42890911272503,5.64520982098653,102.659314314315,1.0,10.0,2739.034,0.029996419162451105,618.2328516195764,622.6617607323014,730.0
LL8_404_a,48.902,2.103,11.534,11.334,12.994,0.137,9.881,2.183,0.414,0.166,0.17825857833805,0.061172303114338286,Fissure 8 (Mid July),33.4671679956936,4.44580613573442,102.676977644311,1.0,40.0,2743.087,0.035678706908171876,578.2558631476893,611.7230311433829,710.0
LL8_404_b,49.064,2.125,11.459,11.338,13.015,0.198,9.8,2.077,0.367,0.207,0.179507955046419,0.06355127306290335,Fissure 8 (Mid July),31.7867810549443,4.66198930419406,102.676476628656,1.0,40.0,2742.674,0.03551753032836302,603.7259495740892,635.5127306290335,730.0
LL8_610,49.279,2.023,10.983,11.335,13.734,0.202,9.581,1.991,0.337,0.192,0.171249565627147,0.11145142159623433,Fissure 8 (Mid July),98.5239073875405,4.85424739473723,102.715385385385,1.00028611805556,110.0,2746.728,0.057488809311955436,1015.9903085748027,1114.5142159623433,1260.0
LL8_612_a,51.033,2.194,13.085,11.344,7.755,0.208,10.975,2.398,0.351,0.257,0.22295628119443,0.06970820155506627,Fissure 8 (Mid July),62.0949964285906,2.48725165316334,102.780265265265,1.0,90.0,2699.068,0.06890630232562245,634.9870191220722,697.0820155506627,1030.0
LL8_613_a,49.298,2.484,11.82,11.334,11.382,0.15,10.354,2.203,0.418,0.192,0.189311150968668,0.0038378006022214903,Fissure 8 (Mid July),37.7315165524686,4.06350295924399,102.551856856857,1.00013992013889,50.0,2732.931,4.348000064879898e-05,0.6464894697463098,38.378006022214905,50.0
LL8_617_b,49.085,2.041,11.408,11.33,13.363,0.166,9.646,2.041,0.334,0.24,0.175749331341255,0.0754860592913787,Fissure 8 (Mid July),13.8507236087424,5.76386231638204,102.697491082441,0.999788114981482,20.0,2744.034,0.03527766910617203,741.0098693050445,754.860592913787,870.0
LL8_630,49.789,1.869,10.867,11.337,13.295,0.204,9.484,2.184,0.34,0.278,0.177495045760413,0.0971745279922813,Fissure 8 (Mid July),36.1090097214518,3.71335363904431,102.7397330664,1.00039611458333,40.0,2736.854,0.0689592243981565,935.6362702013612,971.745279922813,1100.0
LL8_631a,49.375,2.558,12.085,11.332,10.256,0.185,10.973,2.092,0.471,0.302,0.192874335878243,0.031842552267331195,Fissure 8 (Mid July),103.592281511388,2.01064575821003,102.656746746747,1.0,130.0,2730.09,0.029170433477347046,214.83324116192395,318.42552267331195,410.0
LL8_616_b,49.931,2.035,11.389,11.338,12.849,0.136,9.333,2.068,0.37,0.196,0.185608650107848,0.0828172255840292,Fissure 8 (Mid July),23.5965702419815,6.26498247211381,102.65009676343,1.00024405092593,30.0,2732.374,0.03509030861852125,804.5756855983105,828.172255840292,960.0
LL8_202_c,49.022,2.026,11.316,11.333,13.473,0.183,9.84,1.933,0.344,0.179,0.182541482103072,0.037158938635671886,Fissure 8 (Mid July),12.7770641109404,4.91868778233127,102.628348348349,1.0,20.0,2746.403,0.020034677577882576,358.8123222457785,371.5893863567189,420.0
LL8_243_b,48.994,1.917,11.861,11.333,13.184,0.168,9.563,2.136,0.31,0.193,0.172861270851994,0.04392760460980286,Fissure 8 (Mid July),20.7371538075581,4.3013256460777,102.649025692359,1.0,20.0,2742.58,0.026686572691019705,418.5388922904705,439.27604609802864,510.0
LL8_156,49.755,1.798,11.177,11.338,13.478,0.163,9.264,2.181,0.283,0.2,0.192156482943908,0.0736942296387285,Fissure 8 (Mid July),22.6027621808834,4.88829267648946,102.69035702369,1.0,30.0,2736.064,0.03998284907773808,714.3395342064017,736.9422963872851,840.0
LL8_406,48.561,2.593,12.277,11.332,10.682,0.2,10.911,2.31,0.472,0.284,0.19519905306664,0.037097776287110855,Fissure 8 (Mid July),66.0902355308213,2.47873210815001,102.670667334,1.0,80.0,2735.634,0.033648682051023115,304.88752734028725,370.97776287110855,460.0
LL8_302,49.452,2.241,10.609,11.338,13.291,0.169,9.863,2.038,0.409,0.25,0.165673575543155,0.08952790259880183,Fissure 8 (Mid July),50.3459029759314,4.50854537252445,102.725910950622,1.0,60.0,2743.789,0.05142053627283616,844.933123012087,895.2790259880184,1000.0
LL8_611,49.484,2.051,11.345,11.331,12.815,0.147,9.756,2.133,0.366,0.217,0.182576118059734,0.06614209163299832,Fissure 8 (Mid July),27.7863731099652,4.15630740870298,102.653797130464,1.00040909722222,30.0,2737.362,0.04173144452371247,633.634543220018,661.4209163299832,770.0
LL8_616_a,49.407,2.071,11.715,11.336,12.725,0.133,9.626,2.093,0.341,0.199,0.182484906318934,0.060272290837909887,Fissure 8 (Mid July),30.3322360086627,4.07417487198207,102.665345345345,1.00019740740741,40.0,2737.262,0.03845645525450436,572.3906723704362,602.7229083790988,710.0
LL8_606,49.534,2.278,11.698,11.338,11.566,0.195,10.262,2.109,0.409,0.248,0.189291764834188,0.06985768307883908,Fissure 8 (Mid July),36.4659789808183,5.74192416899235,102.633580246914,1.00029643518519,50.0,2732.181,0.03150523476035261,662.1108518075725,698.5768307883908,860.0
LL8_426,49.781,2.123,11.218,11.336,12.769,0.142,9.562,2.136,0.391,0.195,0.174596737994345,0.06676743449410948,Fissure 8 (Mid July),29.239656868682,6.35505254033097,102.651468134801,1.0,30.0,2734.625,0.027472305662151086,638.4346880724128,667.6743449410948,770.0
LL8_401,49.594,2.032,11.022,11.332,13.237,0.15,9.75,2.008,0.328,0.197,0.179427486853056,0.07148663721203369,Fissure 8 (Mid July),25.3594635311162,5.70726145607426,102.668992325659,1.0,30.0,2740.603,0.03310983239061471,689.5069085892208,714.8663721203369,820.0
LL8_400_a,49.203,2.177,11.313,11.336,13.072,0.165,9.565,2.139,0.411,0.269,0.175366397246804,0.08000867749955039,Fissure 8 (Mid July),32.7053696831953,4.96487462228024,102.697734881802,1.0,40.0,2740.407,0.04235630372921406,767.3814053123086,800.0867749955039,910.0
LL8_280,49.764,2.284,11.887,11.334,11.363,0.192,10.16,1.978,0.426,0.254,0.185977926321445,0.08968586952702194,Fissure 8 (Mid July),28.6540735474719,4.36206634269121,102.734944944945,1.0,40.0,2729.506,0.05432676942638892,868.2046217227476,896.8586952702194,1120.0
