MI,T (°C),Duration (hr),ΔFMQ,log10ƒO2 (bar),log10ƒH2O (bar),log10ƒH2 (bar),vol% CO2,Sulfides visible,SiO2,TiO2,Al2O3,FeO*,MnO,MgO,CaO,Na2O,K2O,P2O5,Total,S (ppm),2σ,H2O (ppm),2σS,CO2 (ppm),2σS,Fe3+/∑Fe,1σ[Fe3+/∑Fe],Fe3+/Fe2+,1σ[Fe3+/Fe2+],n,S6+/∑S,1σ[S6+/∑S],S6+/S2−,1σ[S6+/S2−],n,Host Fo (far-field),Host Fo (incl. wall),"KD,Fe2+/Mg ol-liq"
SF20-1,1225,48,-3.03,−11.05,−0.52,−0.84,55.4,N,52.5,2.32,14.79,7.11,0.12,8.8,10.45,2.07,0.61,0.43,99.27,193,72,607,24,11,3,0.071,0.006,0.076,0.007,3,0.065,0.015,0.07,0.017,1,88.33,,
SF20-2,1225,48,-3.03,−11.05,−0.52,−0.84,55.4,Y,51.55,1.89,13.78,9.71,0.18,8.94,11.09,2.43,0.31,0.22,100.15,652,23,,,,,,,,,,0,,,,1,84.43,,
H7XC1,1225,24,-1.13,−9.15,−0.89,−2.05,86.18,N,53.23,2.15,14.05,7.66,0.13,9.01,10.53,2.42,0.33,0.28,99.85,273,,346,74,,,0.07,0.002,0.075,0.002,2,,,,,,88.76,88.37,0.297
H11X1B,1225,24,-1,−9.02,−0.94,−2.16,87.72,Y,52.72,2.08,13.26,9.21,0.15,9.32,10.26,2.24,0.43,0.22,100.03,842,55,511,25,44,14,0.095,0.015,0.105,0.019,2,0.017,0.016,0.017,0.016,2,87.43,86.45,0.313
SF18a,1225,48,-0.06,−8.08c,−1.36c,−3.00c,95.52c,N,53.17,1.99,14.66,7.46,0.12,8.82,10.49,2.4,0.48,0.33,99.96,106,80,349,39,12,3,0.111,0.003,0.125,0.004,3,0.176,0.027,0.214,0.039,1,88.19,,
SF23-1,1225,96,0.1,−7.92,−1.40,−3.17,95.95,N,52.74,2.07,14.2,8.06,0.16,9.36,10.48,2.37,0.42,0.31,100.21,493,10,,,,,0.116,0.002,0.131,0.002,4,0.086,0.058,0.094,0.07,3,88.31,,
SF1-2,1225,24,0.35,−7.67,−1.52,−3.42,96.94,Y,51.71,1.94,13.66,8.36,0.13,9.1,10.81,2.16,0.3,0.16,98.43,823,20,,,,,0.131,0.008,0.15,0.011,2,0.04,0.011,0.041,0.012,1,88.42,87.69,0.313
SF11-5,1225,24,0.35,−7.67,−1.52,−3.42,96.94,Y,52.56,2.01,14.17,7.78,0.13,8.93,10.9,2.24,0.33,0.25,99.42,800,14,376,15,63,17,0.109,0.017,0.123,0.021,2,0.028,0.009,0.029,0.01,1,89.04,88.2,0.307
SF21-3,1225,48,0.75,−7.27,−1.71,−3.81,98.03,N,53.11,2.06,13.93,8.3,0.14,9.05,10.69,2.25,0.3,0.22,100.17,961,68,195,9,64,10,0.164,0.003,0.197,0.004,5,0.436,0.044,0.774,0.14,1,,,
SF14,1225,8,1,−7.02,−1.83,−4.05,98.51,N,53.03,2.02,13.87,8.36,0.14,9.13,10.58,2.22,0.28,0.22,100.06,972,59,945,79,81,34,0.161,0.003,0.191,0.005,3,0.383,0.041,0.621,0.108,1,89.42,,
