sample,P_bar,T_C,mass,SiO2,TiO2,Al2O3,FeOT,Fe3+FeT,MnO,MgO,NiO,CoO,CaO,Na2O,K2O,P2O5,H2O,CO2ppm,STppm
79,1000,1166,100,50.1378,2.02832,13.0568,13.46781886,0.120607418,0.248607,6.54173,0,0,11.2031,2.45648,0.243675,0.186456,0.493269,0,10000
80,1000,1163,99.05919,50.1266,2.04279,13.1437,13.51579701,0.120310849,0.250969,6.44962,0,0,11.1234,2.4782,0.245989,0.188226,0.497954,0,10000
81,1000,1164,99.552708,50.1324,2.0352,13.098,13.49068571,0.120467242,0.249724,6.498,0,0,11.1654,2.46676,0.24477,0.187293,0.495485,0,10000
82,1000,1165,100,50.1378,2.02832,13.0568,13.46781886,0.120607418,0.248607,6.54173,0,0,11.2031,2.45648,0.243675,0.186456,0.493269,0,10000
83,1000,1164,99.552708,50.1324,2.0352,13.098,13.49068571,0.120467242,0.249724,6.498,0,0,11.1654,2.46676,0.24477,0.187293,0.495485,0,10000
84,1000,1164.1,99.602273,50.133,2.03444,13.0935,13.4881968,0.12048288,0.2496,6.50285,0,0,11.1696,2.46562,0.244648,0.1872,0.495238,0,10000
85,1000,1164.2,99.651876,50.1336,2.03367,13.0889,13.48569678,0.120497799,0.249476,6.5077,0,0,11.1738,2.46447,0.244526,0.187107,0.494992,0,10000
86,1000,1164.3,99.701519,50.1342,2.03291,13.0843,13.48310787,0.120514342,0.249352,6.51256,0,0,11.178,2.46333,0.244404,0.187014,0.494745,0,10000
87,1000,1164.4,99.751201,50.1348,2.03215,13.0797,13.48060785,0.120529272,0.249228,6.51742,0,0,11.1822,2.46219,0.244283,0.186921,0.494499,0,10000
88,1000,1164.5,99.800922,50.1354,2.03138,13.0752,13.47800783,0.120545102,0.249103,6.52228,0,0,11.1863,2.46104,0.244161,0.186828,0.494253,0,10000
89,1000,1164.6,99.850682,50.136,2.03062,13.0706,13.47550781,0.120560043,0.248979,6.52714,0,0,11.1905,2.4599,0.244039,0.186734,0.494006,0,10000
90,1000,1164.7,99.900482,50.1366,2.02985,13.066,13.4729189,0.120576611,0.248855,6.53201,0,0,11.1947,2.45876,0.243918,0.186641,0.49376,0,10000
91,1000,1164.8,99.950321,50.1372,2.02908,13.0614,13.47031888,0.120592459,0.248731,6.53688,0,0,11.1989,2.45762,0.243796,0.186548,0.493514,0,10000
92,1000,1164.9,100,50.1378,2.02832,13.0568,13.46781886,0.120607418,0.248607,6.54173,0,0,11.2031,2.45648,0.243675,0.186456,0.493269,0,10000
93,1000,1164.8,99.950321,50.1372,2.02908,13.0614,13.47031888,0.120592459,0.248731,6.53688,0,0,11.1989,2.45762,0.243796,0.186548,0.493514,0,10000
94,1000,1165.2,100,50.1378,2.02832,13.0568,13.46781886,0.120607418,0.248607,6.54173,0,0,11.2031,2.45648,0.243675,0.186456,0.493269,0,10000
95,1000,1164.9,100,50.1378,2.02832,13.0568,13.46781886,0.120607418,0.248607,6.54173,0,0,11.2031,2.45648,0.243675,0.186456,0.493269,0,10000
96,1000,1165,100,50.1378,2.02832,13.0568,13.46781886,0.120607418,0.248607,6.54173,0,0,11.2031,2.45648,0.243675,0.186456,0.493269,0,10000
97,1000,1160,97.601249,50.1115,2.06516,13.2796,13.58887529,0.119838857,0.254717,6.30601,0,0,10.9976,2.51261,0.249664,0.191038,0.505392,0,10000
98,1000,1155,95.277538,50.089,2.10159,13.5025,13.70660934,0.119060032,0.26093,6.07081,0,0,10.7898,2.56954,0.255753,0.195697,0.517718,0,10000
99,1000,1150,93.070201,50.0709,2.1368,13.7212,13.81856545,0.118287637,0.267118,5.84097,0,0,10.5839,2.62611,0.261818,0.200339,0.529996,0,10000
100,1000,1145,90.970599,50.0572,2.17077,13.9356,13.92484363,0.117519713,0.273283,5.61643,0,0,10.38,2.68232,0.267861,0.204962,0.542229,0,10000
101,1000,1140,87.804437,50.0438,2.23302,13.9245,14.20529295,0.116836235,0.283138,5.45795,0,0,10.1212,2.73373,0.277112,0.212353,0.561781,0,10000
102,1000,1135,84.511711,50.0268,2.30414,13.8478,14.53366602,0.116293165,0.294169,5.31794,0,0,9.85437,2.78216,0.287359,0.220627,0.583669,0,10000
103,1000,1130,81.41899,50.006,2.37614,13.7703,14.85738379,0.115894145,0.305343,5.17662,0,0,9.59794,2.82914,0.297703,0.229007,0.60584,0,10000
104,1000,1125,78.49279,49.981,2.44971,13.6911,15.17683522,0.115645666,0.316726,5.03255,0,0,9.3531,2.87489,0.308204,0.237545,0.628426,0,10000
105,1000,1120,75.688952,49.9507,2.52633,13.6082,15.49239824,0.115585606,0.328459,4.88264,0,0,9.12354,2.91975,0.318985,0.246345,0.651705,0,10000
106,1000,1115,72.167164,49.8811,2.64305,13.4266,15.80818903,0.117198057,0.344488,4.63101,0,0,9.06898,2.97009,0.333518,0.258366,0.683509,0,10000
107,1000,1110,69.385743,49.8308,2.73812,13.2882,16.11143254,0.117998976,0.358298,4.44267,0,0,8.93921,3.01393,0.346032,0.268723,0.710908,0,10000
108,1000,1105,66.800334,49.7806,2.83231,13.1564,16.4093759,0.118765998,0.372165,4.25865,0,0,8.805,3.05697,0.358562,0.279124,0.738423,0,10000
109,1000,1100,64.392772,49.7297,2.92605,13.0254,16.70090812,0.119544884,0.38608,4.07998,0,0,8.67363,3.09841,0.37109,0.28956,0.766031,0,10000
110,1000,1095,62.144361,49.6782,3.01935,12.8951,16.9863181,0.120333205,0.400048,3.90643,0,0,8.54488,3.13834,0.383621,0.300036,0.793747,0,10000
111,1000,1090,59.702002,49.7514,3.05777,12.791,17.17118753,0.119804616,0.416414,3.71447,0,0,8.41101,3.19084,0.398352,0.31231,0.826218,0,10000
112,1000,1085,55.542588,50.5844,2.77009,12.8295,16.76801349,0.111123091,0.447598,3.39573,0,0,8.23623,3.32684,0.426868,0.335698,0.888091,0,10000
113,1000,1080,52.078108,51.3134,2.53111,12.8285,16.43477927,0.103462252,0.477374,3.11394,0,0,8.07372,3.44895,0.453949,0.358031,0.947171,0,10000
114,1000,1075,49.126463,51.9651,2.32744,12.7991,16.15156109,0.096638404,0.506056,2.86118,0,0,7.92147,3.56019,0.479907,0.379542,1.00408,0,10000
115,1000,1070,46.567915,52.5568,2.15058,12.7483,15.90546897,0.090514085,0.53386,2.6321,0,0,7.77809,3.66257,0.504954,0.400395,1.05925,0,10000
116,1000,1065,44.319454,53.1004,1.99482,12.6811,15.68783551,0.084985307,0.560944,2.42285,0,0,7.64256,3.75751,0.529247,0.420708,1.11298,0,10000
117,1000,1060,42.255111,53.7299,1.85834,12.5936,15.38587249,0.080903601,0.57456,2.21646,0,0,7.52491,3.84536,0.553663,0.441262,1.16736,0,10000
118,1000,1055,40.363967,54.3494,1.73852,12.4899,15.07287832,0.07740249,0.58528,2.02149,0,0,7.42424,3.92861,0.578107,0.461936,1.22205,0,10000
119,1000,1050,38.642962,54.9521,1.63142,12.3762,14.75865904,0.07426549,0.594084,1.84152,0,0,7.33171,4.00747,0.602338,0.482509,1.27648,0,10000
120,1000,1045,37.068443,55.5402,1.53516,12.2544,14.44210222,0.071444046,0.601162,1.67546,0,0,7.24629,4.0824,0.626388,0.503004,1.3307,0,10000
121,1000,1040,35.62168,56.1153,1.44822,12.1256,14.12301765,0.068895874,0.606693,1.52236,0,0,7.16708,4.15376,0.650276,0.523433,1.38474,0,10000
122,1000,1035,34.287519,56.6784,1.36939,11.9913,13.80157853,0.06658503,0.610851,1.38134,0,0,7.0933,4.22181,0.674012,0.5438,1.43862,0,10000
123,1000,1030,33.053446,57.2302,1.29763,11.8521,13.47819249,0.064481383,0.613797,1.25157,0,0,7.02428,4.28677,0.697595,0.564103,1.49234,0,10000
124,1000,1025,31.908943,57.7711,1.2321,11.7091,13.15356501,0.062558326,0.615681,1.13226,0,0,6.95943,4.3488,0.721023,0.584336,1.54586,0,10000
125,1000,1020,30.845036,58.3015,1.17206,11.5628,12.82838265,0.060793529,0.616642,1.02269,0,0,6.89826,4.40806,0.74429,0.604491,1.59918,0,10000
126,1000,1015,29.853936,58.8215,1.11691,11.4138,12.50329868,0.05916828,0.616805,0.922133,0,0,6.84034,4.46466,0.767387,0.624559,1.65227,0,10000
