H2O_wtpc,H2O_wtpc_sd,dD_pm,H2O_open,dD_open,H2O_closed,dD_closed
2.6,0.03,-52,"3.033749260625863,",-52.98120021,"3.0233722401912533,",-52.66255499
1.32,0.03,-64,"2.897873419147678,",-53.11387994,"2.8683448178877797,",-52.94209274
1.49,0.02,-64,"2.7655127735684313,",-53.5169576,"2.6802868794824923,",-53.14416823
1.67,0.02,-57,"2.646131312846802,",-53.62780396,"2.5127492617072145,",-53.82785695
1.5,0.01,-58,"2.499529617215447,",-54.08630481,"2.3523667557305585,",-54.28757867
1.77,0.03,-63,"2.328186350449258,",-54.59183138,"2.149773590212347,",-55.09588061
1.59,0.05,-65,"2.1566177506126247,",-55.28210188,"1.9696807762621293,",-56.57103164
1.23,0.01,-63,"1.96963636875757,",-56.41407833,"1.7678526226972298,",-58.13038079
1.26,0.01,-64,"1.8051432273329016,",-57.49902904,"1.5633694276473071,",-60.05346581
1.51,0.01,-60,"1.6395234205560096,",-58.74521083,"1.380531570805794,",-62.10453196
1.26,0.01,-62,"1.487784130918514,",-60.12407234,"1.193688651385178,",-64.1657019
1.242,0.005,-70,"1.3398755034785794,",-62.28221735,"1.030516101814091,",-65.6644284
2.64,0.02,-51,"1.2128777849759176,",-63.77024573,"0.8277879341864718,",-68.57599933
0.921,0.007,-68,"1.0746134129510183,",-66.7278281,"0.6211447053860217,",-71.5481929
0.998,0.003,-64,"0.9347266428189168,",-69.14965308,"0.4794374912108002,",-73.91079209
0.943,0.005,-69,"0.8332816945046898,",-72.1861715,"0.350060469694839,",-77.0109668
0.66,0.01,-74,"0.723544489198096,",-75.9683836,"0.20128814512726764,",-80.24754247
0.57,0.007,-74,"0.6156099484550602,",-79.06536366,"0.09927155111798623,",-82.48889637
0.64,0.01,-75,"0.5172295298988818,",-84.00978303,,
0.699,0.006,-69,"0.42150804157395155,",-89.75028079,,
0.689,0.003,-69,"0.34124440188153116,",-95.40344505,,
0.696,0.004,-69,"0.27603301129482016,",-101.6259565,,
0.784,0.009,-76,"0.22019547643861084,",-107.5579162,,
0.775,0.004,-73,"0.17787792580908657,",-114.4270314,,
0.294,0.003,-106,"0.14763822775540097,",-120.893069,,
0.271,0.01,-102,"0.11942652733571812,",-128.491083,,
0.271,0.002,-107,"0.09702842013350986,",-136.7541751,,
0.119,0.002,-123,"0.07692871024983805,",-143.673675,,
,,,"0.05673886713798835,",-151.2095479,,
,,,"0.05371940399402868,",-156.7485068,,
,,,"0.05371940399402868,",-159.7178456,,
