,pressure,fO2,wS_melt,wH2O_melt,wCO2_melt,XS_melt,phi_H2O,XS_fluid,XH2O_fluid,XCO2_fluid,XSO2_fluid,XH2S_fluid,phi_H2S,phi_SO2,wS_fluid,melt_fraction,vapor_fraction,crystal_fraction,DS_bulk,kd_combined_wt,kd_combined_molar,kd_RxnI,kd_RxnIa,kd_RxnII,SO2/ST,S6+/ST,water_fugacity,SO2_fugacity,H2S_fugacity,electron_balance,sulfate_m,sulfide_m,SO2_f,H2S_f,ferric,ferrous,ferric_ratio,FeOT,Fe_cr,ferric_cr,ferrous_cr,FMQ,SCSS,SCAS,fH2,accXS_fluid,accXH2O_fluid,accXCO2_fluid,accXSO2_fluid,accXH2S_fluid,accmelt_fraction,accvapor_fraction,acccrystal_fraction,accCO2_S
0,267.421875,-7.498954722,1000,1.8,1000,0.001624176,1.018742053,0,0.154231411,0.845768589,0,0,1.658668346,1.758887347,0,1,0,0,0,,,0,0,0,0,0.88923182,420.1786623,0,0,0.129993545,0,0,0,0,0.036841343,0.127229954,0.224544719,11.7875383,0,0,0,-8.498954722,908.8786678,5366.326124,1.945656291,0,0,0,0,0,0,0,0,0
1,267.1551864,-7.499270457,999.9106616,1.799930434,987.57755,0.00162108,1.018632411,0.009497163,0.154377804,0.836125739,0.008236722,0.001260441,1.657485977,1.757739778,0.758490645,0.999986432,1.36E-05,0,7.584906446,7.584906446,5.847371664,1.365585067,0,6.405753646,0.867282366,0.88921363,420.1128451,38.67876399,5.58130791,0.129993545,0.002772874,0.00034547,2.78E-07,4.26E-08,0.036840184,0.127228887,0.2245407,11.7875383,0,0,0,-8.499158562,908.9287748,5366.27964,1.946058794,0.009497163,0.154377804,0.836125739,0.008236722,0.001260441,0.999986432,1.36E-05,0,88.03952942
2,266.8884979,-7.499539928,999.9021758,1.79992364,986.3859024,0.001621069,1.018522928,0.009487322,0.154533283,0.835962241,0.008227213,0.001260109,1.656304453,1.75659299,0.757799375,0.999985129,1.49E-05,0,7.578670821,7.578670821,5.852471451,1.367499014,0,6.411260188,0.86717971,0.889211896,420.0709984,38.57036606,5.570293772,0.129993545,0.002772842,0.000345472,3.05E-07,4.67E-08,0.036840073,0.127228784,0.224540317,11.7875383,0,0,0,-8.499362403,908.9746116,5366.2751,1.946468728,0.009487322,0.154533283,0.835962241,0.008227213,0.001260109,0.999985129,1.49E-05,0,88.11361342
3,266.6218093,-7.4998094,999.8934835,1.799916823,985.1941049,0.001621057,1.018413602,0.009495542,0.154689048,0.835798242,0.008233366,0.001262176,1.655123775,1.755446983,0.758530525,0.999983825,1.62E-05,0,7.586047353,7.586047353,5.857581509,1.369416971,0,6.416777779,0.867076987,0.889210165,420.0291465,38.53548341,5.569883195,0.129993545,0.002772809,0.000345474,3.32E-07,5.09E-08,0.036839962,0.127228681,0.224539934,11.7875383,0,0,0,-8.499566244,909.0204517,5366.270545,1.946878708,0.009495542,0.154689048,0.835798242,0.008233366,0.001262176,0.999983825,1.62E-05,0,88.02006618
4,266.3551207,-7.500078874,999.8847707,1.799909985,984.0023939,0.001621046,1.018304435,0.009503777,0.154845098,0.835633943,0.008239529,0.001264248,1.653943941,1.754301756,0.759263127,0.999982522,1.75E-05,0,7.593440095,7.593440095,5.862701869,1.371338951,0,6.422306457,0.866974196,0.889208436,419.9872902,38.50062144,5.569471,0.129993545,0.002772775,0.000345476,3.59E-07,5.51E-08,0.036839852,0.127228578,0.224539552,11.7875383,0,0,0,-8.499770085,909.0662952,5366.265976,1.94728874,0.009503777,0.154845098,0.835633943,0.008239529,0.001264248,0.999982522,1.75E-05,0,87.9265136
5,266.0884322,-7.50034835,999.8760374,1.799903126,982.8107674,0.001621035,1.018195425,0.009512028,0.155001436,0.835469339,0.008245704,0.001266324,1.652764952,1.753157309,0.759997325,0.999981218,1.88E-05,0,7.600849089,7.600849089,5.867832564,1.373264968,0,6.427846255,0.866871338,0.88920671,419.9454295,38.46578726,5.569058217,0.129993545,0.002772742,0.000345478,3.86E-07,5.93E-08,0.036839741,0.127228475,0.224539171,11.7875383,0,0,0,-8.499973925,909.1121419,5366.261393,1.947698823,0.009512028,0.155001436,0.835469339,0.008245704,0.001266324,0.999981218,1.88E-05,0,87.83293914
6,265.8217436,-7.500617828,999.8672836,1.799896245,981.6192253,0.001621024,1.018086575,0.009520295,0.155158063,0.835304431,0.008251891,0.001268404,1.651586806,1.752013641,0.760733125,0.999979914,2.01E-05,0,7.608274387,7.608274387,5.872973623,1.375195033,0,6.433397206,0.866768412,0.889204986,419.9035643,38.43098087,5.568644846,0.129993545,0.002772709,0.00034548,4.13E-07,6.35E-08,0.036839631,0.127228371,0.22453879,11.7875383,0,0,0,-8.500177766,909.1579919,5366.256795,1.948108956,0.009520295,0.155158063,0.835304431,0.008251891,0.001268404,0.999979914,2.01E-05,0,87.73934282
7,265.5550551,-7.500887308,999.8585091,1.799889343,980.4277677,0.001621012,1.017977882,0.009528579,0.155314978,0.835139217,0.00825809,0.001270489,1.650409504,1.750870752,0.761470531,0.99997861,2.14E-05,0,7.615716044,7.615716044,5.878125078,1.377129157,0,6.438959343,0.866665418,0.889203264,419.8616944,38.39620223,5.568230883,0.129993545,0.002772676,0.000345482,4.40E-07,6.77E-08,0.03683952,0.127228268,0.22453841,11.7875383,0,0,0,-8.500381607,909.2038453,5366.252183,1.948519138,0.009528579,0.155314978,0.835139217,0.00825809,0.001270489,0.99997861,2.14E-05,0,87.64572463
8,265.2883665,-7.501156789,999.8497139,1.79988242,979.2363945,0.001621001,1.017869348,0.00953688,0.155472183,0.834973697,0.008264301,0.001272579,1.649233045,1.749728641,0.76220955,0.999977306,2.27E-05,0,7.623174112,7.623174112,5.88328696,1.379067353,0,6.4445327,0.866562357,0.889201544,419.8198199,38.36145132,5.567816327,0.129993545,0.002772642,0.000345484,4.67E-07,7.20E-08,0.03683941,0.127228164,0.22453803,11.7875383,0,0,0,-8.500585448,909.2497019,5366.247557,1.948929371,0.00953688,0.155472183,0.834973697,0.008264301,0.001272579,0.999977306,2.27E-05,0,87.55208457
9,265.0216779,-7.501426273,999.8408979,1.799875475,978.0451056,0.001620989,1.017760972,0.009545197,0.155629679,0.834807869,0.008270524,0.001274673,1.648057428,1.748587307,0.762950187,0.999976001,2.40E-05,0,7.630648645,7.630648645,5.888459301,1.381009632,0,6.450117311,0.866459228,0.889199827,419.7779408,38.32672812,5.567401179,0.129993545,0.002772609,0.000345485,4.95E-07,7.63E-08,0.0368393,0.127228061,0.22453765,11.7875383,0,0,0,-8.500789288,909.2955619,5366.242917,1.949339653,0.009545197,0.155629679,0.834807869,0.008270524,0.001274673,0.999976001,2.40E-05,0,87.45842265
